Species or strain,Genome size (kbp),Protein-coding gene number,Total gene number*,Gene-coding percentage**
Eukaryotes,,,,
Anopheles gambiae PEST,230466.9,13260,13749,19.11 (7.0)
Apis mellifera DH4 ,217194.9,15948,16360,
Arabidopsis thaliana columbia,119707.4,26735,31392,49.99 (28.8)
Aspergillus fumigatus Af293 ,29384.9,9923,10152,55.39 (50.1)
Aspergillus nidulans FGSC A4,30166.8,9541,9727,59.16
Aspergillus niger CBS 513.88,33975.5,14086,14431,65.46
Aspergillus terreus NIH2624,29164.9,10406,10556,59.92
Bigelowiella natans nucleomorph,372.9,293,340,
Bombyx mori,428700,18510,,
Caenorhabditis elegans,100281.2,20056,20935,59.88 (25.8)
Candida albicans SC5314,28504.7,14105,14144,63.97
Candida glabrata CBS 138,12280.4,5181,5397,64.37
Canis familiaris,2445110.1,33202,50110,
Chlamydomonas reinhardtii,121000,15143,,
Cryptococcus neoformans neoformans JEC21,19051.9,6475,6609,66.88
Cryptococcus neoformans var. neoformans B-3501A,19699.8,6500,6609,64.93
Cryptosporidium hominis TU502,8171,3886,3956,64.91
Cryptosporidium parvum Iowa type II,9098.4,3396,3886,68.9
Cyanidioschyzon merolae 10D,16520.3,5331,5373,-44.9
Danio rerio Tuebingen,1097524.4,37724,38017,38.23
Debaryomyces hansenii CBS767,12220.8,6893,7108,76.14
Dictyostelium discoideum AX4,33928.5,13322,13362,68.76 (56.3)
Drosophila melanogaster ,120401.1,14081,21116,61.37 (15.0)
Encephalitozoon cuniculi GB-M1,2497.5,1996,2053,86.99
Entamoeba histolytica HM-1:IMSS,21581.5,9772,10202,54.53
Eremothecium gossypii,8742.4,4718,4987,80.17 (81.2)
Gallus gallus,1031880.1,15288,15700,-3.1
Giardia lamblia ATCC 50803,9717.5,6569,6598,94.45
Gibberella zeae PH-1,36487.3,11640,11640,55.64
Guillardia theta nucleomorph,551.3,486,553,90.34
Hemiselmis andersenii CCMP644 nucleomorph,572,472,525,
Homo sapiens,3080436,27727,38612,35.34 (1.20)
Kluyveromyces lactis NRRL Y-1140,10689.2,5331,5502,70.93
Magnaporthe grisea 70-15,41495.9,12832,13146,47.88
Mus musculus C57BL/6J,2644094,39625,60745,35.34 (2.0)
Neurospora crassa OR74A,37097.3,10079,10082,45.49 (37.6)
Oryza sativa (japonica cultivar-group) ,370792,26777,28431,
Ostreococcus lucimarinus CCE9901,13204.9,7603,7640,75.31
Ostreococcus tauri,12560,8166,,-81.6
Pan troglodytes,3175580.7,48911,49446,
Paramecium tetraurelia (micronuclear),72000,39642,,-78
Phaeodactylum tricornutum CCAP1055/1,27400,10402,,-52
Pichia stipitis CBS 6054,15441.2,5816,5816,61.23
Plasmodium falciparum 3D7,22859.5,5268,5298,58.38
Plasmodium yoelii yoelii 17XNL,20087,7860,7910,59.12
Rattus norvegicus GK/Ox,2718897.3,27490,38115,31.44 (1.7)
Saccharomyces cerevisiae,12156.6,5869,6276,73.57 (70.5)
Schizosaccharomyces pombe 972h-,12554.3,5093,5364,60.42
Tetrahymena thermophila (macronuclear),104100,27424,28345,
Thalassiosira pseudonana CCMP1335,34500,11242,,
Theileria parva Muguga,8347.6,4079,4159,82.14
Trypanosoma brucei TREU927,20527.4,8772,10253,51.03
Ustilago maydis 521,19638,6522,6631,64.33
Volvox carteri,140000,15544,,
Yarrowia lipolytica CLIB122,20503,6520,7042,47.15
,,,,
Bacteria,,,,
Acidiphilium cryptum JF-5,3917.1,3551,3552,89.55
Acidothermus cellulolyticus 11B,2445.4,2151,2197,90.39
Acinetobacter baumannii ATCC 17978 (chr),3976.7,3352,3439,71
Acinetobacter sp. ADP1,3598.6,3325,3422,88.85
Actinobacillus pleuropneumoniae 4074,2292.3,2132,2193,86.03
Actinobacillus pleuropneumoniae L20,2274.5,2012,2108,86
Actinobacillus succinogenes 130Z,2046.1,1884,1938,89.32
Agrobacterium tumefaciens C58 Cereon,5673.5,5301,5366,89.6
Agrobacterium tumefaciens C58 Dupont,5674.1,5402,5467,88.45
Alkalilimnicola ehrlichei MLHE-1,3272.8,2869,2923,90.66
Alkaliphilus metalliredigenes QYMF,4410.3,4090,4233,82.44
Anabaena PCC7120,7211.8,6132,6214,82.41
Anabaena variabilis ATCC29413,7105.8,5746,5805,82.51
Anaeromyxobacter dehalogenans 2CP-C,5013.5,4361,4416,91.45
Anaplasma marginale St. Maries,1197.7,949,1005,85.88
Anaplasma phagocytophilum HZ,1471.3,1264,1304,68.62
Aquifex aeolicus VF5,1590.8,1553,1603,92.68
Arthrobacter sp. FB24,5011.6,4524,4591,90.16
Aster yellows witches-broom phytoplasma AYWB,724,693,728,74.81
Azoarcus sp. EbN1,4727.3,4598,4668,90.89
Azotobacter vinelandii AvOP,5352.4,4990,5058,88.74
Bacillus anthracis A2012,5093.6,5354,5390,81.08
